使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
180013,1377,6,1,96.0,76.0,100.0,25,78.0,3093,36,5983,70.3,36,1,0,319,0,0,469,12230,0,530,Q4 高
189551,2284,2,2,96.0,76.0,,53,66.0,1553,19,4509,78.7,12,1,8,55,0,0,0,0,0,72,Q1 低
75906,2284,5,3,,64.0,80.0,0,,0,0,0,,0,0,0,0,0,339,0,0,447,786,Q4 高
75939,2284,6,1,,,84.0,9,77.8,465,0,0,,0,0,0,0,0,1,55,1495,321,386,Q3 中高
178146,2284,5,4,,,88.0,3,50.0,368,1,13,4.0,0,0,0,3,0,0,0,0,394,398,Q3 中高
27736,1377,5,1,100.0,92.0,80.0,14,53.6,1000,13,2493,75.3,0,0,0,44,0,0,65,2695,0,92,Q1 低
228994,2284,3,1,,100.0,,37,73.0,1294,11,1334,48.3,2,0,0,134,0,0,0,0,199,247,Q2 中低
230454,1377,6,2,84.0,88.0,88.0,42,54.8,349,41,7970,79.1,33,2,0,351,0,0,320,4411,0,403,Q3 中高
2865,2284,3,3,,64.0,,29,65.5,869,5,914,63.4,0,0,0,9,0,0,0,0,243,277,Q3 中高
72906,1377,6,1,100.0,96.0,96.0,4,50.0,101,29,4351,57.2,15,11,0,134,0,0,418,6027,0,451,Q3 中高
13063,1377,5,2,56.0,44.0,80.0,31,69.4,760,15,2772,71.0,12,0,0,39,0,0,129,4406,0,175,Q2 中低
75415,1377,5,3,92.0,84.0,88.0,4,50.0,60,9,1685,63.1,3,0,0,59,0,0,693,13877,0,706,Q4 高
209440,2284,6,2,,76.0,,0,,0,0,0,,0,0,0,0,0,0,105,3210,256,361,Q3 中高
88415,2284,5,2,,56.0,80.0,14,89.3,1229,4,2105,100.0,1,0,0,16,0,0,0,0,114,132,Q2 中低
75208,1377,5,3,76.0,44.0,52.0,5,40.0,52,9,1166,34.8,9,10,0,90,0,0,1713,22022,0,1727,Q4 高
122366,2284,6,4,,80.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,254,254,Q2 中低
89348,2284,2,3,,96.0,,184,71.2,7020,88,17060,83.1,23,16,0,144,0,0,0,0,0,272,Q3 中高
241840,1377,6,2,88.0,92.0,96.0,29,75.9,295,43,6226,64.2,36,1,0,73,0,0,10,125,0,82,Q1 低
14637,1377,5,2,92.0,88.0,80.0,44,62.5,894,32,6575,80.5,1,0,0,43,0,0,581,15224,0,657,Q4 高
193572,2284,5,2,,,84.0,19,78.9,1379,7,2659,93.0,3,5,3,43,0,0,0,0,158,184,Q2 中低
466,2284,3,1,74.0,80.0,,55,66.4,2776,9,1306,71.4,1,0,0,12,0,0,0,0,148,212,Q2 中低
243817,2284,3,3,84.0,88.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,255,255,Q2 中低
52537,1377,6,3,96.0,80.0,92.0,15,70.0,285,22,3818,56.8,2,0,0,304,0,0,5,300,0,42,Q1 低
183584,2284,4,2,,,88.0,12,70.8,742,5,1917,71.8,0,0,0,16,0,0,0,0,329,346,Q3 中高
238715,1377,6,2,88.0,84.0,96.0,25,72.0,529,26,4530,65.9,12,0,0,186,0,0,202,7667,317,570,Q4 高
249749,2284,3,4,76.0,96.0,,38,64.5,1801,8,1935,83.8,13,0,0,77,0,0,0,0,48,94,Q1 低
52089,1377,6,3,80.0,80.0,92.0,9,66.7,134,4,373,31.8,0,0,0,16,120,0,401,7586,0,534,Q4 高
75371,2284,6,3,,76.0,56.0,14,75.0,300,0,0,,0,0,0,0,0,0,115,3305,253,382,Q3 中高
228997,2284,3,2,,80.0,,15,60.0,332,9,1987,65.1,4,2,0,50,0,0,0,0,337,361,Q3 中高
51985,1377,4,3,84.0,84.0,68.0,41,64.6,640,21,4464,78.9,7,0,0,46,0,0,15,710,0,77,Q1 低
18127,1377,4,2,52.0,52.0,54.0,35,67.1,1804,41,7814,75.1,3,9,0,87,0,0,109,1360,0,185,Q2 中低
