使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
52022,1377,6,3,68.0,60.0,88.0,4,100.0,887,35,5082,56.8,50,6,0,159,0,0,528,14790,0,567,Q4 高
125019,2284,6,1,,96.0,,17,94.1,2020,0,0,,0,0,0,0,0,0,35,695,583,635,Q4 高
131251,1377,3,3,28.0,36.0,,11,90.9,241,14,1350,43.1,3,0,0,295,0,0,450,8800,0,475,Q4 高
251838,2284,3,1,,80.0,,46,71.7,2408,8,1572,57.2,12,0,0,28,0,0,0,0,739,793,Q4 高
88805,2284,2,3,,88.0,,141,80.1,9449,74,16465,92.6,20,9,0,113,0,0,0,0,0,215,Q2 中低
252712,2284,3,3,,84.0,,26,80.8,888,8,1033,37.1,1,0,0,18,0,0,0,0,623,657,Q4 高
239275,1377,6,2,72.0,60.0,68.0,5,30.0,116,37,6866,64.6,26,33,0,213,0,0,0,0,0,42,Q1 低
79967,2284,5,1,,72.0,64.0,0,,0,0,0,,0,0,0,0,0,0,0,0,152,152,Q2 中低
142561,2284,6,4,,84.0,,0,,0,0,0,,0,0,0,0,0,0,5,875,316,321,Q3 中高
76268,2284,6,3,80.0,48.0,76.0,0,,0,0,0,,0,0,0,0,0,0,0,0,201,201,Q2 中低
2472,2284,3,2,60.0,60.0,,14,67.9,765,3,850,75.7,1,0,0,16,0,0,0,0,167,184,Q2 中低
170471,1377,6,1,52.0,40.0,44.0,3,66.7,49,39,5584,63.5,22,5,0,310,0,0,367,13513,0,409,Q3 中高
75825,1377,5,3,84.0,92.0,88.0,6,50.0,56,5,1100,67.0,6,0,0,1865,0,0,749,20515,0,760,Q4 高
239702,1377,6,2,96.0,84.0,80.0,30,65.0,331,22,4149,68.3,21,0,0,191,0,0,185,3755,0,237,Q2 中低
75938,2284,6,4,,,96.0,0,,0,0,0,,0,0,0,0,0,0,0,0,188,188,Q2 中低
87839,2284,5,1,,76.0,,0,,0,0,0,,0,0,0,0,130,0,0,0,1302,1432,Q4 高
52229,1377,6,3,60.0,76.0,56.0,10,45.0,98,17,4669,83.3,1,1,0,60,0,0,389,3371,0,416,Q3 中高
75473,2284,5,3,,92.0,,9,77.8,370,0,0,,0,0,0,0,60,2,0,0,782,853,Q4 高
228743,2284,3,3,,72.0,,0,,0,1,2,0.0,0,0,0,1,0,0,0,0,71,72,Q1 低
129227,1377,4,3,48.0,56.0,68.0,25,74.0,655,18,3502,61.8,2,0,0,52,0,0,5,295,0,48,Q1 低
70078,2284,4,2,72.0,,96.0,20,92.5,547,9,3457,91.2,0,0,0,26,0,0,0,0,273,302,Q3 中高
228745,2284,3,2,,80.0,,5,80.0,194,4,867,67.5,0,0,0,5,0,0,0,0,354,363,Q3 中高
165765,2284,5,1,,,68.0,51,75.5,3105,11,5155,74.7,2,1,0,77,0,0,0,0,417,479,Q4 高
