類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標,簡報物件動畫設計,資訊教育,40,28,30.0
能力指標,簡報的基本概念,資訊教育,8,1,87.5
能力指標,簡報的應用程式,資訊教育,24,12,50.0
能力指標,簡報製作注意要點,資訊教育,16,3,81.2
能力指標,簡報製作的觀念與規劃,資訊教育,68,13,80.9
能力指標,細說變數,資訊教育,114,39,65.8
能力指標,網站規範與法律規範,資訊教育,8,2,75.0
能力指標,網路言論的禮貌與尊重,資訊教育,18,6,66.7
能力指標,"職業/家人-Is He/She a Doctor? (firefighter, worker, nurse, doctor, hair stylist, student)",英語108,6,1,83.3
能力指標,"職業/工作-Jobs-doctor, nurse, cook, teacher, student",英語108,4,2,50.0
能力指標,能了解小數乘以10倍和100倍時，小數點位置的處理。,數學108,12,6,50.0
能力指標,能以1公分和1公尺為單位，進行長度的估測活動。,數學108,36,20,44.4
能力指標,能以1公分和1公尺為單位，進行長度的實測活動。,數學108,60,18,70.0
能力指標,能以一維或二維表格整理生活中之有序資料。,數學108,80,26,67.5
能力指標,能以公分、毫米與公尺的關係對實物的長度進行估測。,數學108,10,0,100.0
能力指標,能以公升、毫升為單位進行乘除計算。,數學108,2,0,100.0
能力指標,能以公升、毫升為單位進行估測。,數學108,4,0,100.0
能力指標,能以公升、毫升為單位進行加減計算。,數學108,2,0,100.0
能力指標,能以直式計算解決整十乘以一位數、整百乘以一位數的問題。,數學108,40,5,87.5
能力指標,能以符號表示數學公式。,數學108,60,12,80.0
能力指標,能使用1元、5元、10元、50元的錢幣進行解題活動。,數學108,2,0,100.0
能力指標,能使用斷尺畫出指定長度的線段。,數學108,12,4,66.7
能力指標,能使用直式計算，解決四位數不退位減法問題。,數學108,12,0,100.0
能力指標,能使用直式計算，解決四位數不進位加法問題（和＜10000）。,數學108,56,8,85.7
能力指標,能使用直式計算，解決四位數多重退位減法問題。,數學108,58,21,63.8
能力指標,能使用直式計算，解決四位數進位加法問題（和＜10000）。,數學108,54,11,79.6
能力指標,能使用短除法做質因數分解。,數學108,4,0,100.0
能力指標,能依給定圖示，用積木做立體堆疊。,數學108,2,0,100.0
能力指標,能做「公分」和「毫米」二階單位或複名數長度的加減計算。,數學108,4,1,75.0
能力指標,能做一、十、百的位值單位換算。,數學108,42,14,66.7
能力指標,能做二位數一次退位減法的直式計算。,數學108,18,5,72.2
能力指標,能做二位數不退位減法的直式計算。,數學108,60,17,71.7
能力指標,能做二位數加法和減法的應用。,數學108,50,20,60.0
能力指標,能做公斤和公克的加減計算（不進退位）。,數學108,24,3,87.5
能力指標,能做公斤和公克的單位換算，並做重量大小的比較。,數學108,18,1,94.4
能力指標,能做出簡單（接近整百）的三位數加法估算。,數學108,18,8,55.6
能力指標,能做出簡單（接近整百）的三位數減法估算。,數學108,24,7,70.8
能力指標,能做四位數大小的比較並利用不重複的數字，排出三位數、四位數，再比較大小。,數學108,30,4,86.7
能力指標,能做多位小數的大小比較與生活應用。,數學108,40,4,90.0
能力指標,能做角度之比較與計算。,數學108,16,4,75.0
能力指標,能判斷出任三個線段是否能組成三角形。,數學108,4,1,75.0
能力指標,能利用公分和毫米之間的關係做整數化聚。,數學108,8,2,75.0
能力指標,能利用已知的直徑或半徑，算出圓周長。,數學108,2,0,100.0
能力指標,能利用短除法求兩整數的最大公因數。,數學108,4,0,100.0
能力指標,能利用短除法求出兩整數的最小公倍數。,數學108,2,0,100.0
能力指標,能利用質因數分解找出兩數的最大公因數。,數學108,4,0,100.0
能力指標,能利用通分來比較異分母的大小。,數學108,14,3,78.6
能力指標,能利用通分來解決異分母的分數的加法問題。,數學108,30,10,66.7
能力指標,能利用通分來解決異分母的分數的減法問題。,數學108,32,14,56.2
能力指標,能利用通分來解決簡單異分母分數的應用問題。,數學108,12,2,83.3
能力指標,"能力-Can you _______? Yes, I/ we can. No, I/ we can’t.",英語108,4,2,50.0
能力指標,"能力-Can you/he/she _______?  -dance, draw, swim, sing, ride a bike",英語108,6,2,66.7
能力指標,能力-I Can Dance/ Jump/ Read/ Run/ Sing/ Swim/ Write.,英語108,20,5,75.0
能力指標,"能力/家人-Things my family like to do -jump, write, swim, read, sing, dance",英語108,4,2,50.0
能力指標,能區分事件發生的先後順序。,數學108,4,0,100.0
能力指標,能在「分裝」的情境中，理解除法的意義，並做除法橫式紀錄（整除情況）以解決生活問題。,數學108,62,11,82.3
能力指標,能在「分裝」的情境中，理解除法的意義，並做除法橫式紀錄（有餘數情況）以解決生活問題。,數學108,94,27,71.3
能力指標,能在「平分」的情境中，理解除法的意義，並做除法橫式紀錄（整除情況）以解決生活問題。,數學108,44,11,75.0
能力指標,能在「平分」的情境中，理解除法的意義，並做除法橫式紀錄（有餘數情況）以解決生活問題。,數學108,42,15,64.3
能力指標,"能在具體情境中,認識加法的交換律。",數學108,10,3,70.0
能力指標,能在具體情境中將乘法對加法的分配律運用於簡化計算。,數學108,2,0,100.0
能力指標,能在具體情境中將乘法對減法的分配律運用於簡化計算。,數學108,8,4,50.0
能力指標,能在具體情境中，利用加法順序改變並不影響其和的性質來簡化計算。,數學108,16,6,62.5
能力指標,能在具體情境中，理解先乘再除與先除再乘的結果是相同的。,數學108,18,8,55.6
