siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
54,左營,14,溫度,AMB_TEMP,℃,202603,23
54,左營,10,風速,WIND_SPEED,m/sec,202603,2.3
54,左營,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.08
54,左營,8,總碳氫化物,THC,ppm,202603,2.16
54,左營,7,二氧化氮,NO2,ppb,202603,11
54,左營,6,一氧化氮,NO,ppb,202603,1.4
54,左營,5,氮氧化物,NOx,ppb,202603,13.2
54,左營,4,懸浮微粒,PM10,μg/m3,202603,44
54,左營,3,臭氧,O3,ppb,202603,35
54,左營,2,一氧化碳,CO,ppm,202603,0.34
54,左營,1,二氧化硫,SO2,ppb,202603,1.2
53,楠梓,143,小時風速值,WS_HR,m/sec,202603,1.3
53,楠梓,38,相對濕度,RH,%,202603,65
53,楠梓,33,細懸浮微粒,PM2.5,μg/m3,202603,21.5
53,楠梓,31,甲烷,CH4,ppm,202603,2.1
53,楠梓,14,溫度,AMB_TEMP,℃,202603,23.1
53,楠梓,10,風速,WIND_SPEED,m/sec,202603,1.7
53,楠梓,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
53,楠梓,8,總碳氫化物,THC,ppm,202603,2.21
53,楠梓,7,二氧化氮,NO2,ppb,202603,12
53,楠梓,6,一氧化氮,NO,ppb,202603,1.8
53,楠梓,5,氮氧化物,NOx,ppb,202603,14.6
53,楠梓,4,懸浮微粒,PM10,μg/m3,202603,48
53,楠梓,3,臭氧,O3,ppb,202603,34
53,楠梓,2,一氧化碳,CO,ppm,202603,0.28
53,楠梓,1,二氧化硫,SO2,ppb,202603,1.2
52,林園,143,小時風速值,WS_HR,m/sec,202603,1.8
52,林園,38,相對濕度,RH,%,202603,73
52,林園,33,細懸浮微粒,PM2.5,μg/m3,202603,20.8
52,林園,31,甲烷,CH4,ppm,202603,2.1
52,林園,14,溫度,AMB_TEMP,℃,202603,24.1
52,林園,10,風速,WIND_SPEED,m/sec,202603,2
52,林園,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.13
52,林園,8,總碳氫化物,THC,ppm,202603,2.24
52,林園,7,二氧化氮,NO2,ppb,202603,10
52,林園,6,一氧化氮,NO,ppb,202603,1.2
52,林園,5,氮氧化物,NOx,ppb,202603,11.3
52,林園,4,懸浮微粒,PM10,μg/m3,202603,45
52,林園,3,臭氧,O3,ppb,202603,34
52,林園,2,一氧化碳,CO,ppm,202603,0.28
52,林園,1,二氧化硫,SO2,ppb,202603,1.6
51,大寮,143,小時風速值,WS_HR,m/sec,202603,1.2
51,大寮,38,相對濕度,RH,%,202603,69
51,大寮,33,細懸浮微粒,PM2.5,μg/m3,202603,23.5
51,大寮,31,甲烷,CH4,ppm,202603,2.13
51,大寮,14,溫度,AMB_TEMP,℃,202603,23.7
51,大寮,10,風速,WIND_SPEED,m/sec,202603,1.5
51,大寮,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
51,大寮,8,總碳氫化物,THC,ppm,202603,2.24
51,大寮,7,二氧化氮,NO2,ppb,202603,11
51,大寮,6,一氧化氮,NO,ppb,202603,1.5
51,大寮,5,氮氧化物,NOx,ppb,202603,13
51,大寮,4,懸浮微粒,PM10,μg/m3,202603,47
51,大寮,3,臭氧,O3,ppb,202603,34
51,大寮,2,一氧化碳,CO,ppm,202603,0.3
51,大寮,1,二氧化硫,SO2,ppb,202603,1.5
50,鳳山,143,小時風速值,WS_HR,m/sec,202603,0.6
50,鳳山,38,相對濕度,RH,%,202603,64
50,鳳山,33,細懸浮微粒,PM2.5,μg/m3,202603,22.2
50,鳳山,31,甲烷,CH4,ppm,202603,2.13
50,鳳山,14,溫度,AMB_TEMP,℃,202603,24.5
50,鳳山,10,風速,WIND_SPEED,m/sec,202603,0.9
50,鳳山,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.14
